dt,N,jarzyn_term,avg_work,simulation_time
0.1,1000,0.6137512248600511,0.5357680708921548,14.250401020050049
0.1,5000,0.6049336140698973,0.5521989006788699,56.6931529045105
0.1,10000,0.6075541264199271,0.5500587488229328,111.67891931533813
0.1,50000,0.6099943111485875,0.5453705114610129,651.8351497650146
0.1,50000,0.6099943111485875,0.5453705114610129,651.8351497650146
0.01,1000,0.7926057055130404,0.3276358894489497,142.71598720550537
0.01,5000,0.7836212156889983,0.32391200588752544,688.8607280254364
0.01,10000,0.777098402850614,0.331635133411118,1317.042881011963
0.01,50000,0.7801504862101418,0.3301347150611734,6050.370087146759
0.001,1000,0.8127020635460663,0.29601062592085203,1403.8066210746765
0.001,5000,0.789586114889575,0.31494687175267766,5313.025573253632
